Dataset,Optimization,Acc,Reduction,
phoneme,IB3,0.7035,0.1533,15.33
phoneme,DROP3,0.7733,0.1983,19.83
phoneme,ICF,0.7378,0.1229,12.29
phoneme,GA_CHC,0.7439,0.3142,31.42
phoneme,CCIS,0.7376,0.3293,32.93
phoneme,GBA,0.8283,0.1229,12.29
phoneme,1_NN,0.9048,N/a,N/a
pima,IB3,0.6118,0.1789,17.89
pima,DROP3,0.6737,0.2552,25.52
pima,ICF,0.6513,0.1406,14.06
pima,GA_CHC,0.6408,0.103,10.3
pima,CCIS,0.6961,0.0173,1.73
pima,GBA,0.6927,0.0173,1.73
pima,1_NN,0.6987,N/a,N/a
magic,standard,0.8427,N/a,N/a
magic,stratified,0.8477,N/a,N/a
magic,balanced,0.8492,N/a,N/a
phoneme,standard,0.8352,N/a,N/a
phoneme,stratified,0.8323,N/a,N/a
phoneme,balanced,0.8312,N/a,N/a
magic,LRIS_KNN,0.8192,N/a,N/a
magic,EGA,N/a,N/a,N/a
magic,MOCHC,N/a,N/a,N/a
pima,LRIS_KNN,0.7591,N/a,N/a
pima,EGA,0.727,N/a,N/a
pima,MOCHC,0.7374,N/a,N/a
