australiaa3Obj-Biased-regular-Sample,Round 2,MinMaj cold start
0.8265895953757225,0.838150289017341,0.815028901734104
0.861271676300578,0.8728323699421965,0.8670520231213873
0.8439306358381503,0.8265895953757225,0.838150289017341
0.8728323699421965,0.8786127167630058,0.8959537572254336
0.8265895953757225,0.838150289017341,0.8439306358381503
0.8439306358381503,0.838150289017341,0.8497109826589595
0.815028901734104,0.8670520231213873,0.8497109826589595
0.8265895953757225,0.8439306358381503,0.8439306358381503
0.838150289017341,0.861271676300578,0.8728323699421965
0.791907514450867,0.8034682080924855,0.8208092485549133
